,ingredients
161020,"['butter', 'flour', 'pistachios', 'instant pistachio pudding mix', 'milk', 'kiwi fruits', 'cream cheese', 'powdered sugar', 'whipped topping']"
208949,"['olive oil', 'butter', 'sweet onion', 'garlic clove', 'collard greens', 'water', 'chicken', 'chili sauce', 'salt & freshly ground black pepper']"
31123,"['boneless skinless chicken breasts', 'buffalo wing sauce', 'frozen southern style hash brown potatoes', 'salad dressing', 'cheddar cheese', 'condensed cream of celery soup', 'corn flakes', 'butter', 'green onion']"
172593,"['frozen strawberries', 'blueberries', 'banana', 'raspberry yogurt', 'blueberry juice', 'sugar']"
113715,"['jalapenos', 'queso fresco', 'cilantro', 'mint', 'yellow onion']"
159273,"['onion', 'garlic', 'extra lean ground beef', 'sherry wine', 'cumin', 'oregano', 'salt', 'ground red pepper', 'raisins', 'fresh pineapple', 'green bell pepper', 'red bell pepper']"
211189,"['potatoes', 'black pepper', 'salt', 'bacon', 'onions']"
74738,"['half-and-half cream', 'pumpkin puree', 'dark brown sugar', 'eggs', 'pumpkin pie spice', 'cinnamon', 'vanilla', 'french bread', 'golden raisin', 'whipped cream']"
12234,"['bacon', 'cream cheese', 'cheddar cheese', 'half-and-half', 'worcestershire sauce', 'dried onion flakes', 'dry mustard', 'salt', 'hot sauce']"
36039,"['sweet potato', 'red onion', 'fresh rosemary', 'dried sage', 'salt', 'ground black pepper', 'olive oil', 'garlic', 'pizza crust', 'mozzarella cheese', 'feta cheese']"
86287,"['sugar', 'eggs', 'butter', 'cake flour', 'baking powder', 'vanilla', 'lemons, zest of', ""confectioners' sugar""]"
120064,"['olive oil', 'onion', 'garlic cloves', 'cashew nuts', 'fresh breadcrumbs', 'egg', 'parsnips', 'fresh rosemary', 'fresh thyme', 'vegemite', 'hot water', 'salt & freshly ground black pepper', 'butter', 'mushrooms']"
100410,"['ground beef', 'onion', 'corn', 'cream of chicken soup', 'cream of mushroom soup', 'chopped pimiento', 'salt', 'pepper', 'noodles']"
166261,"['olive oil', 'onions', 'potatoes', 'carrots', 'celery', 'salt', 'bay leaves', 'vegetable stock', 'artichoke hearts', 'dry sherry', 'saffron', 'lemon juice', 'orange juice', 'orange rind', 'fresh ground black pepper', 'fresh parsley', 'lemon']"
151874,"['ground beef', 'taco seasoning', 'garlic', 'cayenne pepper', 'water', 'cornmeal', 'corn tortillas', 'salsa', 'green onion', 'sour cream', 'chili powder', 'monterey jack cheese', 'cheddar cheese']"
153997,"['mixed berries', 'melon balls', 'fruit', 'honey', 'fresh orange juice', 'fresh lemon juice', 'bourbon', 'tubetti', 'plain yogurt', 'pecans', 'mint leaf', 'chocolate shavings']"
112550,"['boneless pork loin steaks', 'chicken broth', 'chopped tomatoes', 'cannellini', 'dried onion flakes', 'fresh spinach leaves']"
225166,"['fat-free mayonnaise', 'low sodium soy sauce', 'gingerroot', 'cooked boneless skinless chicken breast', 'snow peas', 'sweet red pepper', 'carrot', 'scallion', 'bibb lettuce']"
217951,"['ground turkey', 'cornmeal', 'green chilies', 'lime juice', 'egg whites', 'cumin', 'chili powder', 'salt', 'fresh ground pepper', 'canola oil', 'frozen whole kernel corn', 'crushed tomatoes']"
106145,"['olive oil', 'pancetta', 'onion', 'garlic cloves', 'chicken broth', 'italian seasoning', 'cheese tortellini', 'crushed tomatoes in puree', 'fresh spinach', 'salt', 'pepper', 'parmesan cheese']"
159784,"['pineapple cake mix', 'eggs', 'oil', 'water', 'coconut', 'pecans']"
10055,"['asparagus', 'cucumber', 'king prawns', 'olive oil', 'fresh dill leaves', 'lemon juice', 'coarse grain mustard', 'salt & fresh ground pepper']"
150165,"['chocolate syrup', 'milk', 'seltzer water']"
13896,"['sweet potato', 'olive oil', 'sea salt', 'chili', 'garlic powder']"
126714,"['ranch salad dressing', 'salsa', 'romaine lettuce', 'carrots', 'black beans', 'whole kernel corn', 'red onion', 'chopped tomato', 'reduced-fat cheddar cheese', 'baked corn tortilla chips']"
31630,"['rump roast', 'taco seasoning', 'diced tomatoes', 'green chilies', 'onion', 'bell pepper', 'flour tortilla', 'guacamole', 'sour cream', 'salsa', 'cheddar cheese']"
193099,"['potatoes', 'butter', 'milk', 'smoked gouda cheese', 'garlic cloves', 'chipotle chiles in adobo', 'salt and pepper']"
171985,"['chicken breasts', 'coconut milk', 'red curry paste', 'ginger', 'cilantro', 'thai sweet chili sauce', 'chicken broth', 'rice noodles', 'yellow onion', 'red peppers', 'broccoli', 'salt']"
142381,"['orange juice', 'lemons, juice of', 'rum', 'superfine sugar', 'grenadine', 'orange slice', 'maraschino cherry', 'mint sprig']"
112281,"['garbanzo beans', 'red kidney beans', 'white kidney beans', 'great northern beans', 'italian seasoning', 'dry onion soup mix', 'garlic', 'beef broth']"
36569,"['dried lentils', 'water', 'salt', 'crushed red pepper flakes', 'olive oil', 'paprika', 'cumin', 'black pepper', 'chili powder', 'dry mustard', 'balsamic vinegar', 'garlic clove', 'sweet pickle relish', 'fresh lemon juice', 'green onions']"
113476,"['butter', 'sugar', 'flour', 'egg yolks', 'jam', 'egg whites', 'ground walnuts', 'vanilla extract', 'walnuts']"
52430,"['linguine', 'sausage links', 'mussels', 'shrimp', 'fennel', 'garlic', 'shallots', 'italian-style diced tomatoes', 'white wine', 'chicken broth', 'flat leaf parsley', 'cilantro', 'lemon juice', 'lemon zest', 'salt', 'pepper', 'olive oil']"
20368,"['beef', 'dry sherry', 'soy sauce', 'chicken stock', 'rice wine vinegar', 'brown sugar', 'fresh gingerroot', 'garlic cloves', 'fresh ground black pepper']"
178237,"['water', 'cold water', 'olive oil', 'honey', 'salt', 'caraway seeds', 'rye flour', 'bread flour', 'wheat flour', 'wheat gluten', 'dry milk', 'bread machine yeast']"
138829,"['firm tofu', 'green onion tops', 'carrots', 'broccoli', 'snow pea pods', 'sliced water chestnuts', 'bean sprouts', 'sesame oil', 'ramen noodles', 'teriyaki sauce', 'corn', 'garlic', 'ginger', 'beef']"
97933,"['heavy cream', 'powdered sugar', 'matcha green tea powder', 'vanilla']"
31816,"['rice', 'butter', 'egg', 'onions', 'shallot', 'garlic cloves', 'star anise', 'salt']"
99302,"['lemon juice', 'black pepper', 'garlic cloves', 'olive oil', 'mint', 'boneless skinless chicken breasts', 'salt', 'cantaloupe', 'baby spinach leaves', 'cherry tomatoes', 'feta cheese', 'green onion']"
153731,"['extra lean ground beef', 'water', 'onion', 'carrot', 'zucchini', 'spaghetti sauce', 'rotini pasta', 'mozzarella cheese']"
22689,"['ground beef', 'green onion', 'serrano peppers', 'cilantro', 'salt and pepper', 'paprika', 'garam masala']"
82287,"['new potato', 'green beans', 'sugar snap pea', 'mixed salad greens', 'fresh basil leaf', 'red bell pepper', 'tomatoes', 'black olives', 'red wine vinegar', 'shallot', 'fresh thyme', 'dijon mustard', 'kosher salt', 'black pepper', 'sugar', 'extra virgin olive oil', 'toasted sesame seeds', 'ground cumin', 'paprika', 'ground black pepper', 'soft fresh goat cheese']"
191345,"['cranberries', 'sugar', 'water', 'gelatin powder', 'celery', 'walnuts', 'crushed pineapple']"
196605,"['garbanzo beans', 'extra virgin olive oil', 'tahini', 'red bell pepper', 'garlic cloves', 'canned jalapeno slices', 'jalapeno juice', 'lemon juice', 'water', 'ground black pepper', 'cayenne pepper', 'ground cumin', 'dried oregano', 'crushed red pepper flakes']"
107246,"['salmon', 'bourbon', 'honey', 'ginger', 'brown sugar', 'soy sauce', 'pepper', 'cooking spray']"
195134,"['potatoes', 'carrots', 'green beans', 'vegetable oil', 'garlic', 'gingerroot', 'scallions', 'bell pepper', 'hot pepper', 'cabbage', 'turmeric', 'fresh ground black pepper', 'salt']"
89769,"['small shell pasta', 'frozen baby peas', 'celery', 'sweet red pepper', 'onion', 'reduced-calorie mayonnaise', 'white balsamic vinegar', 'fresh basil', 'dijon mustard', 'salt', 'pepper']"
15046,"['brown sugar', 'orange juice', 'nutmeg', 'cinnamon', ""meyer's dark rum"", 'bananas', 'butter', 'vanilla ice cream']"
202813,"['olive oil', 'shallot', 'garlic cloves', 'wax peppers', 'sugar snap peas', 'pine nuts', 'fresh basil', 'salt and pepper']"
144460,"['poundcake', 'chocolate ice cream', 'whipped topping', 'flaked coconut']"
